participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.params,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.positive_szenarios,survey.1.player.treatment_pa,survey.1.player.player_qualityfail_url,survey.1.player.session_variables,survey.1.player.failed_quality_check,survey.1.player.player_complete_url,survey.1.player.feedback,survey.1.player.home_office,survey.1.player.home_office_need,survey.1.player.risk_propensity,survey.1.player.algo_aversion,survey.1.player.teamlead,survey.1.player.hr_job,survey.1.player.pa_heard,survey.1.player.pa_knowledge,survey.1.player.pa_experience,survey.1.player.CON1,survey.1.player.CMB1,survey.1.player.CMB2,survey.1.player.PRS1T1,survey.1.player.PRS1T2,survey.1.player.PRS2T1,survey.1.player.PRS2T2,survey.1.player.PRS3T1,survey.1.player.PRS3T2,survey.1.player.PRS4T1,survey.1.player.PRS4T2,survey.1.player.FRS1T1,survey.1.player.FRS1T2,survey.1.player.FRS2T1,survey.1.player.FRS2T2,survey.1.player.FRS3T1,survey.1.player.FRS3T2,survey.1.player.FRS4T1,survey.1.player.FRS4T2,survey.1.player.ARS1T1,survey.1.player.ARS1T2,survey.1.player.ARS2T1,survey.1.player.ARS2T2,survey.1.player.ARS3T1,survey.1.player.ARS3T2,survey.1.player.ARS4T1,survey.1.player.ARS4T2,survey.1.player.ETHS1T1,survey.1.player.ETHS1T2,survey.1.player.ETHS2T1,survey.1.player.ETHS2T2,survey.1.player.ETHS3T1,survey.1.player.ETHS3T2,survey.1.player.ETHS4T1,survey.1.player.ETHS4T2,survey.1.player.PROS1T1,survey.1.player.PROS1T2,survey.1.player.PROS2T1,survey.1.player.PROS2T2,survey.1.player.PROS3T1,survey.1.player.PROS3T2,survey.1.player.PROS4T1,survey.1.player.PROS4T2,survey.1.group.id_in_subsession,survey.1.subsession.round_number
1,kgxk5c1j,Miriamsuccess,0,13,13,survey,End,2023-11-14 09:35:04.026621,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,1,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,complete  ,1,3,5,3,1,1,1,1,1,6,3,4,1,2,1,2,1,2,1,2,1,3,1,5,1,5,1,6,2,2,2,4,2,5,2,5,3,1,3,3,3,4,3,4,4,2,4,2,4,3,4,3,1,1
2,a4khl9wj,MiriamFail,0,10,13,survey,QualityFail,2023-11-14 09:35:23.431381,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,2,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,1,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,,,,,,,,,,3,,,1,2,1,2,5,3,4,5,1,5,1,4,3,3,3,5,2,4,2,3,3,4,4,4,3,4,3,2,3,3,5,5,4,5,4,3,4,4,4,5,1,1
3,jymclkqs,,0,1,13,survey,Landing,2023-11-14 09:38:51.273063,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,3,,0.0,1_and_4,2_and_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
4,40s6ksv8,FAIL,0,10,13,survey,QualityFail,2023-11-14 09:39:08.859601,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,4,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,1,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,,,,,,,,,,3,,,1,2,1,4,2,4,4,5,1,5,1,5,1,3,1,6,2,6,2,6,2,2,3,5,3,5,3,7,3,3,4,4,4,4,4,5,4,4,5,3,1,1
5,zioyca1l,650638199e63fe46955a4762,0,13,13,survey,End,2023-11-14 10:03:48.740401,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,5,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,0,6,5,1,1,1,1,1,6,6,4,2,6,3,5,3,4,7,2,4,5,3,3,5,5,6,5,6,3,5,2,4,4,2,6,4,3,5,3,3,3,2,6,5,4,6,2,3,3,2,6,1,1
6,h2cvyod9,6517b5f6fccf8981620a9713,0,13,13,survey,End,2023-11-14 10:04:08.527028,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,6,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,3,0,7,6,1,1,1,1,0,6,7,4,2,6,2,6,2,6,2,7,5,5,6,6,6,6,6,1,5,5,6,6,6,5,2,6,5,5,6,6,6,5,4,6,5,6,6,5,6,5,2,6,1,1
7,0kyy21ke,5b0a869f1e55760001b93fa3,0,13,13,survey,End,2023-11-14 10:09:35.992802,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,7,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,0,3,3,1,0,1,1,0,6,5,5,2,6,2,7,3,6,4,4,6,5,5,7,5,7,4,6,6,6,6,5,6,5,4,6,6,6,6,6,6,6,4,6,6,6,6,5,6,5,4,6,1,1
8,dbptphw8,653e6ad788833bcd9ac71ec4,0,13,13,survey,End,2023-11-14 10:10:52.090575,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,8,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,Good experience ,1,1,9,7,1,0,1,1,1,6,5,7,5,2,1,7,1,6,7,1,6,6,7,7,7,7,7,7,6,6,6,4,6,4,7,2,5,6,6,5,5,4,6,3,5,7,7,7,6,6,7,2,1,1
9,vw3glzo8,6480b08b4e783b4c327cf4a8,0,10,13,survey,QualityFail,2023-11-14 10:11:50.396433,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,9,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,1,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,,,,,,,,,,4,,,1,7,1,7,4,4,7,7,1,7,1,7,4,4,4,4,3,5,3,5,4,4,4,4,5,3,5,3,4,4,4,4,7,1,7,1,4,4,4,4,1,1
10,l98fyafs,60fdd779a2a8a9f245363ea7,0,13,13,survey,End,2023-11-14 10:17:10.502601,1,,,0.0,5xn5ewu8,,,,,0,0.0,survey,1.0,,10,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CWXRQ7QL,,0,https://app.prolific.com/submissions/complete?cc=C1LD3MFD,,2,1,10,5,1,1,0,0,0,6,6,1,1,5,3,7,3,7,2,6,3,7,3,7,5,7,3,6,4,5,5,5,6,6,3,6,6,6,5,5,6,6,3,6,6,6,5,5,6,6,2,6,1,1
