Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Management experience,Number of subordinates,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
655345d38ab5ae7d6ea1c3a0,650638199e63fe46955a4762,APPROVED,2023-11-14T10:03:05.762000Z,2023-11-14T10:12:51.739000Z,2023-11-14T10:12:52.258000Z,2023-11-14T10:12:52.180907Z,586.0,C1LD3MFD,19,"English, Portuguese, Spanish",Yes,2-3,24,Male,White,United States,Germany,Germany,English,No,Full-Time
65534614dc4c32f70d2715a9,6517b5f6fccf8981620a9713,APPROVED,2023-11-14T10:04:04.962000Z,2023-11-14T10:12:51.405000Z,2023-11-14T10:12:51.931000Z,2023-11-14T10:12:51.863740Z,527.0,C1LD3MFD,44,"German, Polish, English",Yes,4-6,31,Male,White,Germany,Germany,Germany,German,No,Full-Time
655346f5070f31669236b5db,5b0a869f1e55760001b93fa3,APPROVED,2023-11-14T10:09:33.770000Z,2023-11-14T10:13:30.261000Z,2023-11-14T10:13:30.812000Z,2023-11-14T10:13:30.753089Z,237.0,C1LD3MFD,1319,"French, German, English",Yes,>10,40,Male,White,Germany,Germany,Germany,German,No,Full-Time
655347a448e24d82d6a08a69,653e6ad788833bcd9ac71ec4,APPROVED,2023-11-14T10:10:49.180000Z,2023-11-14T10:22:08.006000Z,2023-11-14T10:22:08.514000Z,2023-11-14T10:22:08.464239Z,679.0,C1LD3MFD,15,English,Yes,2-3,33,Male,Mixed,Germany,Germany,Germany,Arabic,No,Full-Time
6553491fe9114a92b4e4c185,60fdd779a2a8a9f245363ea7,APPROVED,2023-11-14T10:17:06.656000Z,2023-11-14T10:20:58.881000Z,2023-11-14T10:20:59.433000Z,2023-11-14T10:20:59.380026Z,233.0,C1LD3MFD,87,"German, English, French, Italian, Spanish",Yes,>10,38,Male,White,Germany,Germany,Germany,German,No,Full-Time
65534bf4c32c9d57683c5db4,6438b6ee0715799f959089aa,APPROVED,2023-11-14T10:29:14.844000Z,2023-11-14T10:37:46.510000Z,2023-11-14T10:37:47.124000Z,2023-11-14T10:37:47.055171Z,512.0,C1LD3MFD,470,"German, English, Czech",Yes,4-6,30,Male,White,Germany,Germany,Germany,German,No,Full-Time
65534c03bdb06b5516264993,65170d2924df1aca5e1b075b,APPROVED,2023-11-14T10:30:25.317000Z,2023-11-14T10:36:56.585000Z,2023-11-14T10:36:57.136000Z,2023-11-14T10:36:57.076046Z,392.0,C1LD3MFD,82,"English, German",Yes,2-3,30,Male,White,Germany,Germany,Germany,German,No,Full-Time
65534ccc21bc4bbd03f6c10c,63654ffcb5be6a22178d982a,APPROVED,2023-11-14T10:32:47.202000Z,2023-11-14T10:39:17.782000Z,2023-11-14T10:39:18.412000Z,2023-11-14T10:39:18.353948Z,391.0,C1LD3MFD,344,English,Yes,7-10,36,Male,White,Germany,Germany,Germany,German,No,Full-Time
65534df7d2d3a30473ce29c4,63cfa22c2f0dbd0f7203695f,APPROVED,2023-11-14T10:37:46.673000Z,2023-11-14T10:40:57.450000Z,2023-11-14T10:40:58.078000Z,2023-11-14T10:40:58.008471Z,191.0,C1LD3MFD,518,"English, French",Yes,>10,38,Male,White,Germany,Germany,Germany,German,No,Full-Time
65534e5b686ec0e6e3a28e0e,653a69022eb52762a99cdc22,APPROVED,2023-11-14T10:39:28.047000Z,2023-11-14T10:52:31.994000Z,2023-11-14T10:52:32.642000Z,2023-11-14T10:52:32.585531Z,784.0,C1LD3MFD,23,"German, English",Yes,4-6,22,Male,White,Germany,Germany,Germany,German,No,Full-Time
65534e6c35723914fb40981b,652d579562534eea9bbd7337,APPROVED,2023-11-14T10:40:16.331000Z,2023-11-14T10:54:22.896000Z,2023-11-14T10:54:23.454000Z,2023-11-14T10:54:23.390045Z,847.0,C1LD3MFD,3,"German, English",Yes,>10,43,Female,White,Germany,Germany,Germany,German,No,Part-Time
65534f667c4956036041c148,653d475585154bd1870fc810,APPROVED,2023-11-14T10:46:42.120000Z,2023-11-14T11:09:22.451000Z,2023-11-14T11:09:22.908000Z,2023-11-14T11:09:22.851455Z,1361.0,C1LD3MFD,20,"English, German",Yes,>10,35,Male,White,United States,Germany,Germany,English,No,Part-Time
65534fba58f98a1ea393908c,6518491025392d885ba728a3,APPROVED,2023-11-14T10:45:43.213000Z,2023-11-14T10:54:55.479000Z,2023-11-14T10:54:56.022000Z,2023-11-14T10:54:55.942088Z,553.0,C1LD3MFD,36,"English, German",Yes,2-3,33,Male,White,Germany,Germany,Germany,German,No,Full-Time
65535054537e18f71689dc39,5f32d5f107d49607c3f6cf7a,APPROVED,2023-11-14T10:47:52.214000Z,2023-11-14T10:53:57.559000Z,2023-11-14T10:53:58.064000Z,2023-11-14T10:53:58.008924Z,366.0,C1LD3MFD,988,"English, German, Spanish",Yes,2-3,40,Female,White,Germany,Germany,Germany,German,No,Full-Time
6553519a0e3fe9fe676faebd,5a7fab56f49c9a0001f3549e,APPROVED,2023-11-14T10:53:51.731000Z,2023-11-14T11:09:38.595000Z,2023-11-14T11:09:39.096000Z,2023-11-14T11:09:39.049287Z,947.0,C1LD3MFD,2654,"English, German, Spanish, Dutch",Yes,7-10,31,Male,White,Germany,Germany,Germany,German,No,Full-Time
