participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.params,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.positive_szenarios,survey.1.player.treatment_pa,survey.1.player.player_qualityfail_url,survey.1.player.session_variables,survey.1.player.failed_quality_check,survey.1.player.player_complete_url,survey.1.player.feedback,survey.1.player.home_office,survey.1.player.home_office_need,survey.1.player.risk_propensity,survey.1.player.algo_aversion,survey.1.player.teamlead,survey.1.player.hr_job,survey.1.player.pa_heard,survey.1.player.pa_knowledge,survey.1.player.pa_experience,survey.1.player.CON1,survey.1.player.CMB1,survey.1.player.CMB2,survey.1.player.PRS1T1,survey.1.player.PRS1T2,survey.1.player.PRS2T1,survey.1.player.PRS2T2,survey.1.player.PRS3T1,survey.1.player.PRS3T2,survey.1.player.PRS4T1,survey.1.player.PRS4T2,survey.1.player.FRS1T1,survey.1.player.FRS1T2,survey.1.player.FRS2T1,survey.1.player.FRS2T2,survey.1.player.FRS3T1,survey.1.player.FRS3T2,survey.1.player.FRS4T1,survey.1.player.FRS4T2,survey.1.player.ARS1T1,survey.1.player.ARS1T2,survey.1.player.ARS2T1,survey.1.player.ARS2T2,survey.1.player.ARS3T1,survey.1.player.ARS3T2,survey.1.player.ARS4T1,survey.1.player.ARS4T2,survey.1.player.ETHS1T1,survey.1.player.ETHS1T2,survey.1.player.ETHS2T1,survey.1.player.ETHS2T2,survey.1.player.ETHS3T1,survey.1.player.ETHS3T2,survey.1.player.ETHS4T1,survey.1.player.ETHS4T2,survey.1.player.PROS1T1,survey.1.player.PROS1T2,survey.1.player.PROS2T1,survey.1.player.PROS2T2,survey.1.player.PROS3T1,survey.1.player.PROS3T2,survey.1.player.PROS4T1,survey.1.player.PROS4T2,survey.1.group.id_in_subsession,survey.1.subsession.round_number
1,sur9pnvv,6533fca6a20c492a2baf878e,0,13,13,survey,End,2023-11-14 20:50:00.636700,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,1,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,2,0,8,2,1,1,1,1,1,6,5,2,2,6,2,7,3,7,2,7,2,6,2,7,2,7,3,2,6,2,2,2,5,2,6,1,4,3,3,3,5,1,6,1,5,3,2,7,6,1,7,1,1,1
2,t823l9ru,652d35403708b1943dd67bd7,0,13,13,survey,End,2023-11-14 20:50:13.122806,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,2,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,1,7,5,0,0,0,0,1,6,6,2,1,5,4,5,4,7,6,6,2,7,4,7,5,7,5,5,3,6,5,5,5,6,5,3,2,3,6,3,4,4,4,4,2,3,6,3,5,3,3,2,1,1
3,yypjednx,63248756f70099246c251301,0,13,13,survey,End,2023-11-14 20:52:18.872042,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,3,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,0,0,5,4,0,0,0,0,0,6,5,2,1,5,1,6,4,4,4,4,3,6,1,7,6,6,6,6,6,4,7,1,4,2,6,3,6,4,7,3,6,2,7,4,6,5,7,1,6,2,7,4,1,1
4,h9knchbh,648571f02877870cf7a1497e,0,13,13,survey,End,2023-11-14 21:04:35.380533,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,4,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,1,0,7,4,1,1,1,1,1,6,5,2,1,6,1,7,2,6,6,4,2,6,6,6,6,6,4,4,6,1,7,3,7,3,2,6,6,2,7,2,6,3,2,5,7,2,7,3,7,2,1,7,1,1
5,74cwdyk4,5a74e93feea3d300016dd8ca,0,1,13,survey,Landing,2023-11-14 21:07:13.823882,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,5,,0.0,1_and_4,1_and_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
6,gquhryrd,65410ad762a7e3c570b6273c,0,13,13,survey,End,2023-11-14 21:09:10.360653,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,6,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,3,0,6,4,1,1,0,0,0,6,6,4,3,6,4,6,5,3,6,2,5,3,4,5,6,5,5,3,3,5,5,6,5,3,6,4,5,4,4,4,4,4,4,4,5,2,5,6,6,3,6,3,1,1
7,gjvxqrn1,65381c7414c093883101099f,0,13,13,survey,End,2023-11-14 21:10:26.940977,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,7,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,2,3,2,4,1,0,1,1,0,6,4,4,2,5,3,5,4,4,2,6,4,6,5,6,5,6,6,6,6,5,4,5,6,6,4,5,6,6,5,6,6,6,4,5,6,6,4,5,6,6,4,6,1,1
8,b6vssb7d,654a64ee08c9d18eb17c7455,0,10,13,survey,QualityFail,2023-11-14 21:11:56.626224,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,8,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,1,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,,,,,,,,,,7,,,3,5,4,2,5,6,6,7,6,6,5,5,6,7,6,7,6,5,6,4,6,4,6,3,6,4,6,4,6,4,6,3,6,4,6,4,6,4,6,3,1,1
9,i8mgm0y8,6525512ed90d610f27a1976c,0,13,13,survey,End,2023-11-14 21:13:26.435601,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,9,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,0,1,5,4,1,0,0,0,0,6,7,5,2,3,2,6,4,4,2,7,7,6,6,7,6,6,7,7,6,7,4,2,5,5,7,4,7,7,6,1,5,5,7,4,7,7,5,4,6,6,7,5,1,1
10,fegzp2z8,65465caa5dcdb76a16d563b3,0,13,13,survey,End,2023-11-14 21:13:27.986988,1,,,0.0,botw78do,,,,,0,survey,0.0,1.0,,10,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CGA1Y97A,,0,https://app.prolific.com/submissions/complete?cc=C1N2Y8X2,,0,0,7,5,1,1,1,1,1,6,7,3,1,5,3,5,1,6,5,7,1,7,5,5,2,5,7,4,6,3,6,3,7,4,1,6,6,5,7,5,7,6,3,6,7,3,7,6,7,3,2,7,1,1
