Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Management experience,Years of management experience,Number of subordinates,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6553dd6930e6fb8c7d7aa791,652d35403708b1943dd67bd7,AWAITING REVIEW,2023-11-14T20:50:08.299000Z,2023-11-14T20:56:36.731000Z,,2023-11-14T20:56:37.134620Z,389.0,C1N2Y8X2,22,"English, Turkish",Yes,2 - 3 years,2-3,29,Male,White,Turkey,Germany,Turkey,Turkish,No,Full-Time
6553dd73e34e09978a7c1133,6533fca6a20c492a2baf878e,AWAITING REVIEW,2023-11-14T20:49:55.750000Z,2023-11-14T21:00:57.506000Z,,2023-11-14T21:00:58.017835Z,662.0,C1N2Y8X2,9,"English, German, Turkish",Yes,1 - 2 years,4-6,28,Male,White,Turkey,Germany,Turkey,Turkish,Yes,Part-Time
6553ddf9518edf9bbc38f8a2,63248756f70099246c251301,AWAITING REVIEW,2023-11-14T20:52:13.751000Z,2023-11-14T20:59:38.502000Z,,2023-11-14T20:59:38.972097Z,445.0,C1N2Y8X2,194,"English, Greek, Albanian",Yes,1 - 2 years,2-3,37,Male,White,Albania,Germany,Greece,Greek,No,Full-Time
6553e0dbe700bb10a2fe49b8,648571f02877870cf7a1497e,AWAITING REVIEW,2023-11-14T21:04:31Z,2023-11-14T21:13:02.561000Z,,2023-11-14T21:13:03.050567Z,512.0,C1N2Y8X2,255,"German, English, Polish",Yes,3 - 4 years,>10,29,Male,White,Poland,Germany,Poland,Polish,No,Full-Time
6553e1e5fa5dce7c9806b502,65410ad762a7e3c570b6273c,AWAITING REVIEW,2023-11-14T21:08:56.536000Z,2023-11-14T21:20:18.482000Z,,2023-11-14T21:20:18.936399Z,682.0,C1N2Y8X2,24,"English, German, Turkish",Yes,5+ years,>10,34,Male,Asian,Germany,Germany,Turkey,Turkish,No,Full-Time
6553e23af3a08e1f96dd68db,65381c7414c093883101099f,AWAITING REVIEW,2023-11-14T21:10:24.661000Z,2023-11-14T21:22:56.932000Z,,2023-11-14T21:22:57.467342Z,753.0,C1N2Y8X2,17,"English, Turkish",Yes,5+ years,2-3,35,Male,White,Turkey,Germany,Turkey,Turkish,No,Full-Time
6553e2e04eee49f43557cc1f,65465caa5dcdb76a16d563b3,AWAITING REVIEW,2023-11-14T21:13:20.266000Z,2023-11-14T21:22:04.053000Z,,2023-11-14T21:22:04.440447Z,524.0,C1N2Y8X2,20,"English, German, French, Chinese, Spanish, Italian, Czech",Yes,1 - 2 years,>10,24,Male,Mixed,Germany,Germany,Azerbaijan,German,No,Full-Time
6553e2ef0c51e0b1053a1a26,6525512ed90d610f27a1976c,AWAITING REVIEW,2023-11-14T21:13:19.815000Z,2023-11-14T21:26:38.286000Z,,2023-11-14T21:26:39.019025Z,799.0,C1N2Y8X2,13,"English, Turkish",Yes,1 - 2 years,2-3,42,Male,Mixed,Turkey,Germany,Turkey,Turkish,No,Full-Time
6553e413a66b1b53ccef6ed2,5ec3f04b131a0b09ebac091d,AWAITING REVIEW,2023-11-14T21:19:16.663000Z,2023-11-14T21:24:48.095000Z,,2023-11-14T21:24:48.608889Z,332.0,C1N2Y8X2,1014,"German, Greek, English",Yes,3 - 4 years,7-10,34,Female,White,Greece,Germany,Greece,Greek,No,Full-Time
6553e42465d67aa76b3278b5,6522b3f0535f2d5e3fb75188,AWAITING REVIEW,2023-11-14T21:19:03.180000Z,2023-11-14T21:23:23.222000Z,,2023-11-14T21:23:23.770787Z,261.0,C1N2Y8X2,32,"English, German, Turkish",Yes,5+ years,4-6,30,Female,Mixed,Turkey,Germany,Turkey,Turkish,No,Full-Time
