participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.participation_fee,session.config.real_world_currency_per_point,session.params,survey.1.player.id_in_group,survey.1.player.role,survey.1.player.payoff,survey.1.player.positive_szenarios,survey.1.player.treatment_pa,survey.1.player.player_qualityfail_url,survey.1.player.session_variables,survey.1.player.failed_quality_check,survey.1.player.player_complete_url,survey.1.player.feedback,survey.1.player.home_office,survey.1.player.home_office_need,survey.1.player.risk_propensity,survey.1.player.algo_aversion,survey.1.player.teamlead,survey.1.player.hr_job,survey.1.player.pa_heard,survey.1.player.pa_knowledge,survey.1.player.pa_experience,survey.1.player.CON1,survey.1.player.CMB1,survey.1.player.CMB2,survey.1.player.PRS1T1,survey.1.player.PRS1T2,survey.1.player.PRS2T1,survey.1.player.PRS2T2,survey.1.player.PRS3T1,survey.1.player.PRS3T2,survey.1.player.PRS4T1,survey.1.player.PRS4T2,survey.1.player.FRS1T1,survey.1.player.FRS1T2,survey.1.player.FRS2T1,survey.1.player.FRS2T2,survey.1.player.FRS3T1,survey.1.player.FRS3T2,survey.1.player.FRS4T1,survey.1.player.FRS4T2,survey.1.player.ARS1T1,survey.1.player.ARS1T2,survey.1.player.ARS2T1,survey.1.player.ARS2T2,survey.1.player.ARS3T1,survey.1.player.ARS3T2,survey.1.player.ARS4T1,survey.1.player.ARS4T2,survey.1.player.ETHS1T1,survey.1.player.ETHS1T2,survey.1.player.ETHS2T1,survey.1.player.ETHS2T2,survey.1.player.ETHS3T1,survey.1.player.ETHS3T2,survey.1.player.ETHS4T1,survey.1.player.ETHS4T2,survey.1.player.PROS1T1,survey.1.player.PROS1T2,survey.1.player.PROS2T1,survey.1.player.PROS2T2,survey.1.player.PROS3T1,survey.1.player.PROS3T2,survey.1.player.PROS4T1,survey.1.player.PROS4T2,survey.1.group.id_in_subsession,survey.1.subsession.round_number
1,7pa3mbhd,5ba16cc388ec69000112a59b,0,13,13,survey,End,2023-11-14 16:26:48.196461,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,1,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,1,1,2,4,1,1,1,1,1,6,7,5,1,6,2,6,3,3,5,4,6,6,7,7,7,7,7,7,7,6,7,3,5,3,3,5,7,6,7,3,5,3,3,5,7,6,7,3,5,3,3,5,1,1
2,9p47hgbi,63f6ac6d4ce41fa2a87ea79b,0,13,13,survey,End,2023-11-14 16:55:07.824518,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,2,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,3,1,10,7,1,0,0,0,1,6,7,7,1,6,1,6,1,6,2,6,3,6,5,6,4,6,5,5,5,5,7,7,6,6,6,3,5,4,7,7,6,6,6,3,5,4,7,7,6,6,6,3,1,1
3,ug1duwxd,6443ebb84fc33e703937a6f9,0,13,13,survey,End,2023-11-14 16:55:12.276717,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,3,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,1,3,9,5,1,1,1,1,1,6,6,5,1,7,4,6,1,7,7,1,7,7,1,7,2,7,7,7,6,4,4,6,6,4,1,7,6,4,4,6,6,4,1,7,6,6,5,6,6,4,1,7,1,1
4,z64rjwb9,6313b174ea51a256bfe6099f,0,2,13,survey,SzenarioOne,2023-11-14 16:55:27.627254,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,4,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
5,a1k1r832,63eec085b1d2e79ac4fbbd78,0,13,13,survey,End,2023-11-14 16:57:27.872096,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,5,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,1,0,9,6,1,1,1,1,1,6,6,5,5,4,2,7,2,7,4,5,7,7,2,7,2,6,7,6,7,7,2,2,2,2,6,6,7,7,2,3,2,2,6,6,7,7,2,3,2,2,6,6,1,1
6,rpzr5byq,60885dc6571926117732b41e,0,13,13,survey,End,2023-11-14 16:59:12.439686,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,6,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,0,0,6,7,1,0,1,1,1,6,7,4,3,4,1,7,4,4,6,1,4,7,3,7,5,7,6,4,5,4,7,4,5,5,3,7,5,4,7,3,7,5,3,7,5,4,7,3,6,5,3,7,1,1
7,n0n06sbi,5f9b6cc0e01ad13902b38f60,0,13,13,survey,End,2023-11-14 17:01:09.053763,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,7,,0.0,1_and_4,2_and_3,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,1,0,6,5,1,0,1,1,0,6,6,5,4,5,2,5,3,5,4,5,2,5,2,5,2,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,1,1
8,k6r3w18w,62348c41368404b2ade8312b,0,13,13,survey,End,2023-11-14 17:06:37.245487,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,8,,0.0,2_and_3,2_and_3,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,1,1,6,5,1,0,1,0,0,6,7,7,3,5,3,6,4,5,6,5,5,6,5,7,5,6,6,6,5,6,5,6,5,6,5,5,5,6,5,6,5,6,5,5,5,6,5,7,5,6,5,5,1,1
9,fj7f2kbc,632dd45fb49858b31338c11c,0,10,13,survey,QualityFail,2023-11-14 17:08:41.371377,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,9,,0.0,1_and_4,1_and_4,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,1,https://app.prolific.com/submissions/complete?cc=C9B87HRO,,,,,,,,,,,5,,,4,3,3,6,2,6,2,7,6,7,6,2,3,6,2,7,7,4,5,1,3,7,2,6,6,4,7,4,2,2,3,7,6,5,7,3,5,5,3,7,1,1
10,aiyg7slj,5ba292385301b80001c71ba2,0,13,13,survey,End,2023-11-14 17:09:03.823375,1,,,0.0,kplv6sud,,,,,0,survey,0.0,1.0,,10,,0.0,2_and_3,1_and_4,https://app.prolific.com/submissions/complete?cc=CG40C7DK,,0,https://app.prolific.com/submissions/complete?cc=C9B87HRO,Fun survey,1,0,8,5,1,0,1,1,1,6,5,5,2,6,6,3,2,6,2,6,7,7,7,7,7,7,6,2,6,4,6,6,6,6,4,3,7,4,6,6,6,5,5,2,6,4,7,6,6,5,4,2,1,1
