session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
jet8tnby,1,2e5eck2g,0,,InitializeParticipant,1699976142,1,0,0
jet8tnby,1,2e5eck2g,1,survey,Landing,1699976144,1,0,0
kplv6sud,1,7pa3mbhd,0,,InitializeParticipant,1699979208,1,0,0
kplv6sud,1,7pa3mbhd,1,survey,Landing,1699979556,1,0,0
kplv6sud,1,7pa3mbhd,2,survey,SzenarioOne,1699979598,1,0,0
kplv6sud,1,7pa3mbhd,3,survey,SzenarioOneOutcome,1699979623,1,0,0
kplv6sud,1,7pa3mbhd,4,survey,SzenarioTwo,1699979690,1,0,0
kplv6sud,1,7pa3mbhd,5,survey,SzenarioTwoOutcome,1699979705,1,0,0
kplv6sud,1,7pa3mbhd,6,survey,SzenarioThree,1699979726,1,0,0
kplv6sud,1,7pa3mbhd,7,survey,SzenarioThreeOutcome,1699980235,1,0,0
kplv6sud,1,7pa3mbhd,8,survey,SzenarioFour,1699980317,1,0,0
kplv6sud,1,7pa3mbhd,9,survey,SzenarioFourOutcome,1699980336,1,0,0
kplv6sud,1,7pa3mbhd,11,survey,Experience,1699980365,1,0,0
kplv6sud,1,7pa3mbhd,12,survey,Feedback,1699980368,1,0,0
kplv6sud,2,9p47hgbi,0,,InitializeParticipant,1699980907,1,0,0
kplv6sud,2,9p47hgbi,1,survey,Landing,1699980911,1,0,0
kplv6sud,3,ug1duwxd,0,,InitializeParticipant,1699980912,1,0,0
kplv6sud,3,ug1duwxd,1,survey,Landing,1699980918,1,0,0
kplv6sud,4,z64rjwb9,0,,InitializeParticipant,1699980927,1,0,0
kplv6sud,2,9p47hgbi,2,survey,SzenarioOne,1699980942,1,0,0
kplv6sud,3,ug1duwxd,2,survey,SzenarioOne,1699980956,1,0,0
kplv6sud,2,9p47hgbi,3,survey,SzenarioOneOutcome,1699980987,1,0,0
kplv6sud,2,9p47hgbi,4,survey,SzenarioTwo,1699981019,1,0,0
kplv6sud,4,z64rjwb9,1,survey,Landing,1699981038,1,0,0
kplv6sud,3,ug1duwxd,3,survey,SzenarioOneOutcome,1699981041,1,0,0
kplv6sud,2,9p47hgbi,5,survey,SzenarioTwoOutcome,1699981041,1,0,0
kplv6sud,5,a1k1r832,0,,InitializeParticipant,1699981047,1,0,0
kplv6sud,2,9p47hgbi,6,survey,SzenarioThree,1699981071,1,0,0
kplv6sud,3,ug1duwxd,4,survey,SzenarioTwo,1699981092,1,0,0
kplv6sud,2,9p47hgbi,7,survey,SzenarioThreeOutcome,1699981101,1,0,0
kplv6sud,5,a1k1r832,1,survey,Landing,1699981110,1,0,0
kplv6sud,3,ug1duwxd,5,survey,SzenarioTwoOutcome,1699981145,1,0,0
kplv6sud,6,rpzr5byq,0,,InitializeParticipant,1699981152,1,0,0
kplv6sud,2,9p47hgbi,8,survey,SzenarioFour,1699981154,1,0,0
kplv6sud,6,rpzr5byq,1,survey,Landing,1699981156,1,0,0
kplv6sud,3,ug1duwxd,6,survey,SzenarioThree,1699981175,1,0,0
kplv6sud,2,9p47hgbi,9,survey,SzenarioFourOutcome,1699981182,1,0,0
kplv6sud,6,rpzr5byq,2,survey,SzenarioOne,1699981207,1,0,0
kplv6sud,6,rpzr5byq,3,survey,SzenarioOneOutcome,1699981241,1,0,0
kplv6sud,2,9p47hgbi,11,survey,Experience,1699981241,1,0,0
kplv6sud,2,9p47hgbi,12,survey,Feedback,1699981247,1,0,0
kplv6sud,3,ug1duwxd,7,survey,SzenarioThreeOutcome,1699981264,1,0,0
kplv6sud,7,n0n06sbi,0,,InitializeParticipant,1699981269,1,0,0
kplv6sud,6,rpzr5byq,4,survey,SzenarioTwo,1699981270,1,0,0
kplv6sud,7,n0n06sbi,1,survey,Landing,1699981272,1,0,0
kplv6sud,5,a1k1r832,2,survey,SzenarioOne,1699981291,1,0,0
kplv6sud,3,ug1duwxd,8,survey,SzenarioFour,1699981296,1,0,0
kplv6sud,7,n0n06sbi,2,survey,SzenarioOne,1699981297,1,0,0
kplv6sud,6,rpzr5byq,5,survey,SzenarioTwoOutcome,1699981317,1,0,0
kplv6sud,3,ug1duwxd,9,survey,SzenarioFourOutcome,1699981323,1,0,0
kplv6sud,7,n0n06sbi,3,survey,SzenarioOneOutcome,1699981323,1,0,0
kplv6sud,7,n0n06sbi,4,survey,SzenarioTwo,1699981343,1,0,0
kplv6sud,7,n0n06sbi,5,survey,SzenarioTwoOutcome,1699981366,1,0,0
kplv6sud,7,n0n06sbi,6,survey,SzenarioThree,1699981396,1,0,0
kplv6sud,6,rpzr5byq,6,survey,SzenarioThree,1699981411,1,0,0
kplv6sud,7,n0n06sbi,7,survey,SzenarioThreeOutcome,1699981419,1,0,0
kplv6sud,7,n0n06sbi,8,survey,SzenarioFour,1699981439,1,0,0
kplv6sud,6,rpzr5byq,7,survey,SzenarioThreeOutcome,1699981441,1,0,0
kplv6sud,3,ug1duwxd,11,survey,Experience,1699981447,1,0,0
kplv6sud,3,ug1duwxd,12,survey,Feedback,1699981451,1,0,0
kplv6sud,7,n0n06sbi,9,survey,SzenarioFourOutcome,1699981453,1,0,0
kplv6sud,6,rpzr5byq,8,survey,SzenarioFour,1699981487,1,0,0
kplv6sud,7,n0n06sbi,11,survey,Experience,1699981500,1,0,0
kplv6sud,7,n0n06sbi,12,survey,Feedback,1699981503,1,0,0
kplv6sud,5,a1k1r832,3,survey,SzenarioOneOutcome,1699981509,1,0,0
kplv6sud,6,rpzr5byq,9,survey,SzenarioFourOutcome,1699981514,1,0,0
kplv6sud,5,a1k1r832,4,survey,SzenarioTwo,1699981549,1,0,0
kplv6sud,6,rpzr5byq,11,survey,Experience,1699981570,1,0,0
